"%1 Items Shipped","%1 Artikel erhalten"
"(Excl. Tax)","(Exkl. Steuer)"
"(Incl. Tax)","(Inkl. Steuer)"
"Add Another Package","Weiteres Paket hinzufügen"
Address,Adresse
"An error occurred while loading map. Please try again later.","Es ist ein Fehler beim Laden der Karte aufgetreten. Bitte versuchen Sie es später noch einmal."
Back,Zurück
"Batch Process Shipments",Massenverarbeitung
Carrier,Carrier
"Carrier Code","Carrier Code"
"Changes have been made to this section that have not been saved.","In diesem Abschnitt gibt es ungespeicherte Änderungen"
City,Stadt
Company,Firma
"Contact Information",Kontaktinformationen
Country,Land
"Create Return Label","Rücksendeetikett erstellen"
"Create Shipments","Versandetiketten erzeugen"
"Create Shipping Label","Versandetikett erzeugen"
"Created At",Erstellungsdatum
Date,Datum
Delete,Löschen
Documents,Dokumente
"Download QR Code","QR-Code herunterladen"
"Download Return Label","Retourenetikett herunterladen"
Edit,Bearbeiten
Email,E-Mail
Failed,Fehlgeschlagen
"First Name",Vorname
"For editing package items click to enlarge","Anklicken um Artikel im Paket zu bearbeiten"
Item,Artikel
"Item quantity must be between {0} and {1}.","Artikelmenge muss zwischen {0} und {1} liegen."
"Label Status","Label Status"
"Labels for your return shipment (shipment number %1)","Labels für Ihre Retourenlieferung (Sendungsnummer %1)"
"Last Name",Nachname
"Map data",Kartendaten
"My Return Labels","Meine Rücksendeetiketten"
No,Nein
"No return labels were created yet.","Es wurden noch keine Rücksendeetiketten erstellt."
"Not Available","Nicht verfügbar"
"Opening Hours",Öffnungszeiten
"Order #","Bestellung #"
"Package %1","Paket %1"
"Package Items","Artikel im Paket"
"Package Options",Paket-Parameter
Partial,"Teilweise verarbeitet"
Pending,Ausstehend
"Phone Number",Telefon
"Pickup Location",Abholort
"Please select a region, state or province.","Bitte wählen Sie eine Region, ein Bundesland oder eine Provinz aus."
Postcode,Postleitzahl
Processed,Verarbeitet
Qty,Anzahl
"Recipient Street",Empfängeradresse
Remove,Entfernen
"Return Items Information",Retouren-Artikel
"Return Label",Retourenetikett
"Return Label QR Code","QR-Code für die Retouren-Einlieferung"
"Return Labels","Retourenetiketten"
"Return Shipments",Rücksendungen
SKU,SKU
Save,Speichern
Search,Suchen
Select,Auswählen
"Service Options",Serviceoptionen
Services,Dienstleistungen
"Ship To:","Versenden an:"
"Shipment # %1","Lieferschein # %1"
"Shipment Setup",Versandetikett-Konfiguration
"Shipment could not be created.","Sendung konnte nicht erstellt werden."
"Shipping Method",Versandmethode
"Shipping Method:",Versandmethode:
"Shipping Services",Versand-Services
"Some items are not assigned to a package. Please assign every item to a package.","Einige Artikel sind keinem Paket zugeordnet. Bitte teilen Sie alle Artikel einem Paket zu."
State/Province,Bundesland
Street,Straße
"Street Name",Straße
"Street Number",Hausnummer
Submit,Absenden
Supplement,Ergänzung
"This tab contains invalid data. Please resolve this before saving.","Dieser Reiter enthält ungültige Daten. Bitte vor dem Speichern korrigieren."
Title,Titel
"Tracking Number",Sendungsnummer
Yes,Ja
"You must not refer to a parcel shop, postal office, or similar.","Paket-Shops, Postfilialen oder ähnliches dürfen nicht "
"Your input must not include one of the following: ","Ihre Angaben dürfen folgende Zeichen nicht enthalten: "
"Your shipping option selections could not be saved.","Ihre Versandoptions-Auswahl konnte nicht gespeichert werden."
"Zip/Postal Code",Postleitzahl
and,und
edit,bearbeiten
